N° Lector;UBICACIÓN;Estado;Fecha
401;Lector Control De Acceso T2C 3008 Embarque Puente C5 Lado Nor-Ori;;
402;Lector Control De Acceso T2C 3007 Embarque Puente C5 Lado Sur-Ori;;
403;LECTOR NO ASIGNADO;;
404;LECTOR NO ASIGNADO;;
405;LECTOR NO ASIGNADO;;
406;LECTOR NO ASIGNADO;;
407;Lector Control De Acceso T2C 3010 Sala Electrica  3T2CLT008 Poniente;;
408;Lector Control De Acceso T2C 3009 Sala CCDD  3T2CLT009 Poniente;;
409;LECTOR NO ASIGNADO;;
410;LECTOR NO ASIGNADO;;
411;LECTOR NO ASIGNADO;;
412;LECTOR NO ASIGNADO;;
413;LECTOR NO ASIGNADO;;
414;LECTOR NO ASIGNADO;;
415;LECTOR NO ASIGNADO;;
416;LECTOR NO ASIGNADO;;
417;Lector Control De Acceso T2C 3014 Embarque Puente C3 Lado Nor-Pon;;
418;Lector Control De Acceso T2C 3011 Embarque Puente C3 Lado Sur-Pon;;
419;Lector Control De Acceso T2C 3013 Embarque Puente C3 Lado Nor-Ori;;
420;Lector Control De Acceso T2C 3012 Embarque Puente C3 Lado Sur-Ori;;
421;Lector Control De Acceso T2C 3015 Embarque Puente C2 Lado Sur-Pon;;
422;Lector Control De Acceso T2C 3016 Embarque Puente C2 Lado Nor-Pon;;
423;Lector Control De Acceso T2C 3017 Embarque Puente C2 Lado Sur-Ori;;
424;Lector Control De Acceso T2C 3018 Embarque Puente C2 Lado Nor-Ori;;
425;LECTOR NO ASIGNADO;;
426;LECTOR NO ASIGNADO;;
427;LECTOR NO ASIGNADO;;
428;Lector Control De Acceso T2C 3020 Sala CCDD  3T2CLT002 Centro;;
429;Lector Control De Acceso T2C 3019 Sala Electrica  3T2CLT001 Centro;;
430;Lector Control De Acceso T2C 3023 Embarque Puente C1 Lado Nor-Ori;;
431;Lector Control De Acceso T2C 3024 Embarque Puente C1 Lado Sur-Ori;;
432;Lector Control De Acceso T2C 3021 Embarque Puente C1 Lado Nor-Pon;;
433;Lector Control De Acceso T2C 3022 Embarque Puente C1 Lado Sur-Pon;;
434;Lector Control De Acceso T2C 3026 Conector T2C - T1  Lado Nor-Pon Nivel 3;;
435;Lector Control De Acceso T2C 3025 Conector T2C - T1  Lado Sur-Pon Nivel 3;;
436;Lector Control De Acceso T2C 3028 Conector T2C - T1  Lado Nor-Ori Nivel 3;;
437;Lector Control De Acceso T2C 3027 Conector T2C - T1  Lado Sur-Ori Nivel 3;;
438;LECTOR NO ASIGNADO;;
439;LECTOR NO ASIGNADO;;
440;LECTOR NO ASIGNADO;;
441;LECTOR NO ASIGNADO;;
442;LECTOR NO ASIGNADO;;
443;LECTOR NO ASIGNADO;;
444;LECTOR NO ASIGNADO;;
445;LECTOR NO ASIGNADO;;
446;Lector Control De Acceso T2C 3029 Vestibulo a escala 3er Piso Norte;;
447;Lector Control De Acceso T2C 3030 Sala CCDD  3T2CLT015 Oriente;;
448;Lector Control De Acceso T2C 3031 Sala Electrica  3T2CLT016 Oriente;;
449;Lector Control De Acceso T2C 3032 Vestibulo ASC 23 Nivel 3  Sur;;
450;Lector Control De Acceso T2C 3033 Conector T2C - M lado Nor-Ori Nivel 3;;
451;Lector Control De Acceso T2C 3034 Conector T2C - M lado Sur-Ori Nivel 3;;
452;Lector Control De Acceso T2C 3036 Conector T2C - M lado Nor-Pon Nivel 3;;
453;Lector Control De Acceso T2C 3035 Conector T2C - M lado Sur-Pon Nivel 3;;
454;Lector Control De Acceso T2C Nivel 3 Escalera Emergencia  67;;
455;Lector Control De Acceso T2C Nivel 3 Escalera Emergencia  66;;
456;Lector Control De Acceso T2C 3039 Acceso Conector T1 - T2C Lado Sur-Ori Nivel 3;;
457;Lector Control De Acceso T2C 3040 Acceso Conector T1 - T2C Lado Nor-Ori Nivel 3;;
458;Lector Control De Acceso T2C 3042 Acceso Conector T1 - T2C Lado Sur-Pon Nivel 3;;
459;Lector Control De Acceso T2C 3041 Acceso Conector T1 - T2C Lado Nor-Pon Nivel 3;;
460;Lector Control De Acceso T2C Escalera Emergencia 78 pasillo T1A-T2C  Nivel 3;;
461;Lector Control De Acceso T2C 3044 Escala Servicio Plataforma Puente C1A;;
462;Lector Control De Acceso T2C 3045 Escala Servicio Plataforma Puente C1B;;
463;Lector Control De Acceso T2C 3046 Escala Servicio Plataforma Puente C2A;;
464;Lector Control De Acceso T2C 3047 Escala Servicio Plataforma Puente C2B;;
465;Lector Control De Acceso T2C 3048 Escala Servicio Plataforma Puente C3A;;
466;Lector Control De Acceso T2C 3049 Escala Servicio Plataforma Puente C3B;;
467;Lector Control De Acceso T2C 3050 Escala Servicio Plataforma Puente C4A;;
468;Lector Control De Acceso T2C 3051 Escala Servicio Plataforma Puente C4B;;
469;Lector Control De Acceso T2C 3052 Escala Servicio PlataformaPuente C5A;;
470;Lector Control De Acceso T2C 3053 Escala Servicio PlataformaPuente C5B;;
500;Lector Control de Acceso T2D Sala CCDD 1T2DLT006;;
501;Lector Control de Acceso T2D Ingreso Escala 019 Primer Nivel;;
502;Lector Control de Acceso T2D Sala Electrica  1T2DLT007;;
503;Lector Control de Acceso T2D Sala Clima y Bombeo  1T2DLT016;;
504;Lector Control de Acceso T2D Sala Clima  Poniente 1T2DLT008;;
505;Lector Control de Acceso T2D Sala Electrica  1T2DLT004;;
506;Lector Control de Acceso T2D Sub Estacion  1T2DLT022;;
507;Lector Control de Acceso T2D Sub Estacion  1T2DLT022;;
508;Lector Control de Acceso T2D Sala Clima Centro  1T2DLT005;;
509;Lector Control de Acceso T2D Sala CCDD  1T2DLT002;;
510;Lector Control de Acceso T2D Sala Electrica  1T2DLT003;;
511;Lector Control de Acceso T2D Sala Clima Oriente  1T2DLT001;;
512;LECTOR NO ASIGNADO;;
513;LECTOR NO ASIGNADO;;
514;LECTOR NO ASIGNADO;;
515;Lector Control de Acceso T2D Sala Fotovoltaica Nivel 1T2DLT018  Norte;;
516;Lector Control de Acceso T2D Sala Fotovoltaica Nivel 1T2DLT017 Sur;;
517;Lector Control de Acceso T2D PBB  SALA PTE. D1;;
518;Lector Control de Acceso T2D PBB  SALA PTE. D3;;
519;Lector Control de Acceso T2D PBB  SALA PTE. D5;;
520;Lector Control de Acceso T2D PBB  SALA PTE. D2;;
521;Lector Control de Acceso T2D PBB  SALA PTE. D4;;
522;Lector Control de Acceso T2D PBB  SALA PTE. D6;;
523;Lector Control de Acceso T2D Conector T2D - T1B  Lado Sur-Pon Nivel 2;;
524;Lector Control de Acceso T2D Conector T2D - T1B  Lado Nor-Pon Nivel 2;;
525;Lector Control de Acceso T2D Conector T2D - T1B  Lado Sur-Ori Nivel 2;;
526;Lector Control de Acceso T2D Conector T2D - T1B  Lado Nor-Ori Nivel 2;;
527;Lector Control de Acceso T2D Puerta Swing Gate Conector Lado Nor-Pon Nivel 2;;
528;Lector Control de Acceso T2D Puerta Swing Gate Conector Lado Sur-Pon Nivel 2;;
529;LECTOR NO ASIGNADO;;
530;LECTOR NO ASIGNADO;;
531;Lector Control de Acceso T2D Conector T2D - T2M  Lado Nor-Pon Nivel 2;;
532;Lector Control de Acceso T2D Conector T2D - T2M  Lado Sur-Pon Nivel 2;;
533;Lector Control de Acceso T2D Conector T2D - T2M  Lado Nor-Ori Nivel 2;;
534;Lector Control de Acceso T2D Conector T2D - T2M  Lado Sur-Ori Nivel 2;;
535;Lector Control de Acceso T2D Pasillo desembarque D2 Nivel 2  Sur;;
536;Lector Control de Acceso T2D Pasillo desembarque D2 Nivel 2  Norte;;
537;Lector Control de Acceso T2D Pasillo desembarque D1 Nivel 2  Norte;;
538;Lector Control de Acceso T2D Pasillo desembarque D1 Nivel 2  Sur;;
539;Lector Control de Acceso T2D Pasillo desembarque D3 Nivel 2  Norte;;
540;Lector Control de Acceso T2D Pasillo desembarque D3 Nivel 2  Sur;;
541;Lector Control de Acceso T2D Pasillo desembarque D4 Nivel 2  Sur;;
542;Lector Control de Acceso T2D Pasillo desembarque D4 Nivel 2  Norte;;
543;Lector Control de Acceso T2D Swing Gate Pasillo desemb. Pte D4  Pon Nivel 2;;
544;Lector Control de Acceso T2D Swing Gate Pasillo desemb. Pte D4  Ori Nivel 2;;
545;LECTOR NO ASIGNADO;;
546;LECTOR NO ASIGNADO;;
547;Lector Control de Acceso T2D Swing Gate Pasillo desemb. Pte D5  Pon Nivel 2;;
548;Lector Control de Acceso T2D Swing Gate Pasillo desemb. Pte D5  Ori Nivel 2;;
549;LECTOR NO ASIGNADO;;
550;LECTOR NO ASIGNADO;;
551;Lector Control de Acceso T2D Pasillo desembarque D5 Nivel 2  Norte;;
552;Lector Control de Acceso T2D Pasillo desembarque D5 Nivel 2  Sur;;
553;Lector Control de Acceso T2D Pasillo desembarque D6 Nivel 2  Sur;;
554;Lector Control de Acceso T2D Pasillo desembarque D6 Nivel 2  Norte;;
555;Lector Control de Acceso T2D Sala Clima T2D  -T1BB Nivel 2T2DLT002;;
556;Lector Control de Acceso T2D Nivel 2 Escalera Emergencia  27;;
557;Lector Control de Acceso T2D Sala Clima T2D  -T1BB Nivel 2T2DLT004;;
558;Lector Control de Acceso T2D Nivel 2 Escalera Emergencia  26;;
559;Lector Control de Acceso T2D Sala Clima T1B - T2D  Nivel 2T2DLT005;;
560;Lector Control de Acceso T2D Nivel 2 Escalera Emergencia  25;;
561;Lector Control de Acceso T2D Conector T1BB - T2D Lado Nor-Pon Nivel 2;;
562;Lector Control de Acceso T2D Conector T1BB - T2D Lado Sur-Pon Nivel 2;;
563;Lector Control de Acceso T2D Conector T1BB - T2D Lado Nor-Ori Nivel 2;;
564;Lector Control de Acceso T2D Conector T1BB - T2D Lado Sur-Ori Nivel 2;;
565;Lector Control de Acceso T2D Sala Clima T2M - T2D  Nivel 2T2DLT006;;
566;Lector Control de Acceso T2D Nivel 2 Escalera Emergencia  39;;
567;Lector Control de Acceso T2D Sala Clima T2M - T2D  Nivel 2T2DLT003;;
568;Lector Control de Acceso T2D Nivel 2 Escalera Emergencia  38;;
569;Lector Control de Acceso T2D D 1 Acceso a plataforma Interior;;
570;Lector Control de Acceso T2D D 1 Acceso a plataforma Exterior;;
571;LeFtor Fontrol De Acceso T2D Prepuente a pasillo desemb. D1A;;
572;Lector Control de Acceso T2D pre pasarela D3   Emergencia;;
573;Lector Control de Acceso T2D D 3 Acceso a plataforma interior;;
574;Lector Control de Acceso T2D D 3 Acceso a plataforma exterior;;
575;Lector Control de Acceso T2D Prepuente a pasillo desemb. D3B;;
576;Lector Control de Acceso T2D Prepuente a pasillo desemb. D3A;;
577;Lector Control de Acceso T2D pre pasarela D5   Emergencia;;
578;Lector Control de Acceso T2D D 5 Acceso a plataforma interior;;
579;Lector Control de Acceso T2D D 5 Acceso a plataforma exterior;;
580;Lector Control de Acceso T2D Prepuente a pasillo desemb. D5B;;
581;Lector Control de Acceso T2D Prepuente a pasillo desemb. D5A;;
582;Lector Control de Acceso T2D D 2 Acceso a plataforma Interior;;
583;Lector Control de Acceso T2D D 2 Acceso a plataforma Exterior;;
584;LeFtor Fontrol De Acceso T2D Prepuente a pasillo desemb. D2A;;
585;Lector Control de Acceso T2D pre pasarela D4   Emergencia;;
586;Lector Control de Acceso T2D D 4 Acceso a plataforma interior;;
587;Lector Control de Acceso T2D D 4 Acceso a plataforma exterior;;
588;Lector Control de Acceso T2D Prepuente a pasillo desemb. D4B;;
589;Lector Control de Acceso T2D Prepuente a pasillo desemb. D4A;;
590;Lector Control de Acceso T2D pre pasarela D6   Emergencia  ;;
591;Lector Control de Acceso T2D D 6 Acceso a plataforma interior;;
592;Lector Control de Acceso T2D D 6 Acceso a plataforma exterior;;
593;Lector Control de Acceso T2D Prepuente a pasillo desemb. D6B;;
594;Lector Control de Acceso T2D Prepuente a pasillo desemb. D6A;;
595;Lector Control de Acceso T2D  Conector T2D - T1B Lado Sur-Pon Nivel 3;;
596;Lector Control de Acceso T2D  Conector T2D - T1B Lado Nor-Pon Nivel 3;;
597;Lector Control de Acceso T2D  Conector T2D - T1B Lado Sur-Ori Nivel 3;;
598;Lector Control de Acceso T2D  Conector T2D - T1B Lado Nor-Ori Nivel 3;;
599;Lector Control de Acceso T2D Nivel 3 Escalera  Emergencia  27;;
600;Lector Control de Acceso T2D Sala CCDD  3T2DLT002 Poniente;;
601;Lector Control de Acceso T2D Sala Electrica  3T2DLT032 Poniente;;
602;Lector Control de Acceso T2D Vestibulo a Escala 019 3er Piso;;
603;Lector Control de Acceso T2D Swing Gate Emb. Lado Poniente  Nivel 3;;
604;Lector Control de Acceso T2D Swing Gate Emb. Lado Poniente  Nivel 3;;
605;Lector Control de Acceso T2D Swing Gate Emb. Lado Poniente  Nivel 3;;
606;Lector Control de Acceso T2D Conector T2D - T2M  Lado Nor-Pon Nivel 3;;
607;Lector Control de Acceso T2D Conector T2D - T2M  Lado Sur-Pon Nivel 3;;
608;Lector Control de Acceso T2D Conector T2D - T2M  Lado Nor-Ori Nivel 3;;
609;Lector Control de Acceso T2D Conector T2D - T2M  Lado Sur-Ori Nivel 3;;
610;Lector Control de Acceso T2D Nivel 3 Escalera  Emergencia  38;;
611;Lector Control de Acceso T2D Nivel 3 Escalera  Emergencia  39;;
612;Lector Control de Acceso T2D Embarque Puente D2 Lado Norte;;
613;Lector Control de Acceso T2D Embarque Puente D2 Lado Sur;;
614;Lector Control de Acceso T2D Embarque Puente D1 Lado Norte;;
615;Lector Control de Acceso T2D Embarque Puente D1 Lado Sur;;
616;Lector Control de Acceso T2D Swing Gate Emb. Lado Centro  Nivel 3;;
